No,Brand,Category,Theme_Description,Keywords,Primary_Color,Secondary_Color,Accent_Color,Background_Color,Text_Color,Heading_Font,Body_Font,Typography_Mood,Button_Style,Card_Style,Shadow_Style,Border_Radius_Style,Spacing_Base,Dos,Donts,Key_Characteristics,Design_MD_Path
1,Airbnb,Enterprise & Consumer,"Airbnb's website is a warm, photography-forward marketplace that feels like flipping through a travel magazine where every page invites you to book. The design operates on a foundation of pure white (`#ffffff`) with the iconic Rausch Red (`#ff385c`) — named after Airbnb's first street address — s...","airbnb, enterprise & consumer, warm, soft, ai, marketplace, rounded, red, black, white, variable font",#ff385c,#e00b41,#c13515,#ffffff,#222222,Airbnb Cereal VF,Airbnb Cereal VF,"warm, confident, precision","Background: `#222222` (near-black, not pure black); Text: `#ffffff`; Padding: 0px 24px; Radius: 8px; Hover: transitions to error/brand accent via `var(--accent-bg-error)`","Background: `#ffffff`; Radius: 14px (badges), 20px (cards/buttons), 32px (large); Shadow: `rgba(0,0,0,0.02) 0px 0px 0px 1px, rgba(0,0,0,0.04) 0px 2px 6px, rgba(0,0,0,0.1) 0px 4px 8px` (three-layer)","| Card (Level 1) | `rgba(0,0,0,0.02) 0px 0px 0px 1px, rgba(0,0,0,0.04) 0px 2px 6px, rgba(0,0,0,0.1) 0px 4px 8px` | Listing cards, search bar |",,8px,"Use `#222222` (warm near-black) for text — never pure `#000000`; Apply Rausch Red (`#ff385c`) only for primary CTAs and brand moments — it's the singular accent; Use Airbnb Cereal VF at weight 500–700 — the warm weight range is intentional; Apply the three-layer card shadow for all elevated surfaces; Use generous border-radius: 8px for buttons, 20px for cards, 50% for controls; Use photography as the primary visual content — listings are image-first; Apply negative letter-spacing (-0.18px to -0.","Don't use pure black (`#000000`) for text — always `#222222` (warm); Don't apply Rausch Red to backgrounds or large surfaces — it's an accent only; Don't use thin font weights (300, 400) for headings — 500 minimum; Don't use heavy shadows (>0.1 opacity as primary layer) — keep them warm and graduated; Don't use sharp corners (0–4px) on cards — the generous rounding (20px+) is core; Don't introduce additional brand colors beyond the Rausch/Luxe/Plus system; Don't override the palette token system","Pure white canvas with Rausch Red (`#ff385c`) as singular brand accent; Airbnb Cereal VF — custom variable font with warm, rounded terminals; Palette-based token system (`--palette-*`) for systematic color management; Three-layer card shadows: border ring + soft blur + stronger blur; Generous border-radius: 8px buttons, 14px badges, 20px cards, 32px large elements; Circular navigation controls (50% radius); Photography-first listing cards — images are the hero content; Near-black text (`#2222...",design-md/airbnb/DESIGN.md
2,Airtable,Design & Productivity,"Airtable's website is a clean, enterprise-friendly platform that communicates ""sophisticated simplicity"" through a white canvas with deep navy text (`#181d26`) and Airtable Blue (`#1b61c9`) as the primary interactive accent. The Haas font family (display + text variants) creates a Swiss-precision...","airtable, design & productivity, clean, ai, enterprise, blue, white",#181d26,#333333,#254fad,#ffffff,#006400,Haas,Haas,,"**Primary Blue**: `#1b61c9`, white text, 16px 24px padding, 12px radius; **White**: white bg, `#181d26` text, 12px radius, 1px border white; **Cookie Consent**: `#1b61c9` bg, 2px radius (sharp)",,"Soft ambient: `rgba(15,48,106,0.05) 0px 0px 20px`",,8px,,,"White canvas with deep navy text (`#181d26`); Airtable Blue (`#1b61c9`) as primary CTA and link color; Haas + Haas Groot Disp dual font system; Positive letter-spacing on body text (0.08px–0.28px); 12px radius buttons, 16px–32px for cards; Multi-layer blue-tinted shadow: `rgba(45,127,249,0.28) 0px 1px 3px`; Semantic theme tokens: `--theme_*` CSS variable naming",design-md/airtable/DESIGN.md
3,Apple,Enterprise & Consumer,"Apple's website is a masterclass in controlled drama — vast expanses of pure black and near-white serve as cinematic backdrops for products that are photographed as if they were sculptures in a gallery. The design philosophy is reductive to its core: every pixel exists in service of the product, ...","apple, enterprise & consumer, dark, light, cinematic, gradient, full-width, blue, red, black, white",#000000,#262628,#f5f5f7,#272729,#ffffff,SF Pro Display,SF Pro Text,"light, bold, tight",Background: `#0071e3` (Apple Blue); Text: `#ffffff`; Padding: 8px 15px; Radius: 8px; Border: 1px solid transparent,"Background: `#f5f5f7` (light) or `#272729`-`#2a2a2d` (dark); Border: none (borders are rare in Apple's system); Radius: 5px-8px; Shadow: `rgba(0, 0, 0, 0.22) 3px 5px 30px 0px` for elevated product cards; Content: centered, generous padding","| Navigation Glass | `backdrop-filter: saturate(180%) blur(20px)` on `rgba(0,0,0,0.8)` | Sticky navigation bar — the glass effect |",,8px,Use SF Pro Display at 20px+ and SF Pro Text below 20px — respect the optical sizing boundary; Apply negative letter-spacing at all text sizes (not just headlines) — Apple tracks tight universally; Use Apple Blue (`#0071e3`) ONLY for interactive elements — it must be the singular accent; Alternate between black and light gray (`#f5f5f7`) section backgrounds for cinematic rhythm; Use 980px pill radius for CTA links — the signature Apple link shape; Keep product imagery on solid-color fields with n,"Don't introduce additional accent colors — the entire chromatic budget is spent on blue; Don't use heavy shadows or multiple shadow layers — Apple's shadow system is one soft diffused shadow or nothing; Don't use borders on cards or containers — Apple almost never uses visible borders (except on specific buttons); Don't apply wide letter-spacing to SF Pro — it is designed to run tight at every size; Don't use weight 800 or 900 — the maximum is 700 (bold), and even that is rare; Don't add texture","SF Pro Display/Text with optical sizing — letterforms adapt automatically to size context; Binary light/dark section rhythm: black (`#000000`) alternating with light gray (`#f5f5f7`); Single accent color: Apple Blue (`#0071e3`) reserved exclusively for interactive elements; Product-as-hero photography on solid color fields — no gradients, no textures, no distractions; Extremely tight headline line-heights (1.07-1.14) creating compressed, billboard-like impact; Full-width section layout with c...",design-md/apple/DESIGN.md
4,BMW,Automotive,"BMW's website is automotive engineering made visual — a design system that communicates precision, performance, and German industrial confidence. The page alternates between deep dark hero sections (featuring full-bleed automotive photography) and clean white content areas, creating a cinematic r...","bmw, automotive, dark, light, cinematic, clean, sharp, industrial, blue, red, white",#ffffff,#757575,#0653b6,#262626,#1c69d4,BMWTypeNextLatin Light,BMWTypeNextLatin,"light, heavy, tight","Text: 16px BMWTypeNextLatin, weight 700 for primary, 400 for secondary; Line-height: 1.15–2.88 (large variation suggests padding-driven sizing); Border: white bottom-border on dark surfaces (`1px solid #ffffff`); No border-radius — sharp rectangul...",No border-radius — all containers are sharp-cornered rectangles; White backgrounds on light sections; Dark backgrounds for hero/feature sections; No visible borders on most elements,,,8px,Use BMWTypeNextLatin Light (300) uppercase for all display headings; Keep ALL corners sharp (0px radius) — angular geometry is non-negotiable; Use BMW Blue (`#1c69d4`) only for interactive elements — never decoratively; Apply weight 900 for navigation emphasis — the extreme weight contrast is intentional; Use full-bleed automotive photography for hero sections; Keep line-heights tight (1.15–1.30) throughout; Use `--site-context-*` CSS variables for theming,"Don't round corners — zero radius is the BMW identity; Don't use BMW Blue for backgrounds or large surfaces — it's an accent only; Don't use medium font weights (500–600) — the system uses 300, 400, 700, 900 extremes; Don't add decorative elements — the photography and typography carry everything; Don't use relaxed line-heights — BMW text is always compressed; Don't lighten the dark hero sections — the contrast with white IS the design","BMWTypeNextLatin Light (weight 300) uppercase for display — whispered authority; BMW Blue (`#1c69d4`) as singular accent — used only for interactive elements; Zero border-radius detected — angular, sharp-cornered, industrial geometry; Dark hero photography + white content sections — showroom lighting rhythm; CSS variable-driven theming: `--site-context-*` tokens for brand flexibility; Weight 900 for navigation emphasis — extreme contrast with 300 display; Tight line-heights (1.15–1.30) throug...",design-md/bmw/DESIGN.md
5,Cal.com,Design & Productivity,"Cal.com's website is a masterclass in monochromatic restraint — a grayscale world where boldness comes not from color but from the sheer confidence of black text on white space. Inspired by Uber's minimal aesthetic, the palette is deliberately stripped of hue: near-black headings (`#242424`), mid...","cal, design & productivity, light, minimal, clean, bold, geometric, ai, pill, monochrome, red, black, white",#242424,#0099ff,#0000ee,#ffffff,#111111,Cal Sans,Inter,"sans, tight, light, elegant, bold, compact","**Dark Primary**: `#242424` (or `#1e1f23`) background, white text, 6–8px radius. Hover: opacity reduction to 0.7. The signature CTA — maximally dark on white; **White/Ghost**: White background with shadow-ring border, dark text. Uses the multi-lay...","**Shadow Card**: White background, multi-layered shadow — `rgba(19, 19, 22, 0.7) 0px 1px 5px -4px, rgba(34, 42, 53, 0.08) 0px 0px 0px 1px, rgba(34, 42, 53, 0.05) 0px 4px 8px 0px`. The ring shadow (0px 0px 0px 1px) acts as a shadow-border; **Produc...","| Level 1 (Inset) | `rgba(0,0,0,0.16) 0px 1px 1.9px 0px inset` | Pressed/recessed elements, input wells |",,,"Use Cal Sans exclusively for headings (24px+) and never for body text — it's a display font with tight default spacing; Apply positive letter-spacing (+0.2px) when using Cal Sans below 24px — the font cramps at small sizes without it; Maintain the grayscale palette — boldness comes from contrast, not color; Use the multi-layered shadow system for card elevation — ring shadow + diffused shadow + contact shadow; Keep backgrounds pure white — the monochrome philosophy requires a clean canvas; Use I","Use Cal Sans for body text or text below 16px — it wasn't designed for extended reading; Add brand colors — Cal.com is intentionally grayscale, color is reserved for links and UI states only; Use CSS borders when shadows can achieve the same containment — the ring-shadow technique is the system's approach; Apply negative letter-spacing to Cal Sans at small sizes — it needs positive spacing (+0.2px) below 24px; Create heavy, dark shadows — Cal.com's shadows are subtle (5% opacity diffused) with s","Purely grayscale brand palette — no brand colors, boldness through monochrome; Cal Sans custom geometric display font with extremely tight default letter-spacing; Multi-layered shadow system (11 definitions) with ring borders + diffused shadows + inset highlights; Cal Sans for headings, Inter for body — clean typographic division; Wide border-radius scale from 2px to 9999px (pill) — versatile rounding; White canvas with near-black (#242424) text — maximum contrast, zero decoration; Product sc...",design-md/cal/DESIGN.md
6,Claude (Anthropic),AI & Machine Learning,"Claude's interface is a literary salon reimagined as a product page — warm, unhurried, and quietly intellectual. The entire experience is built on a parchment-toned canvas (`#f5f4ed`) that deliberately evokes the feeling of high-quality paper rather than a digital surface. Where most AI product p...","claude, ai & machine learning, premium, editorial, warm, organic, ai, neutral, yellow, serif",#141413,#b53333,#3898ec,#f5f4ed,#4d4c48,Anthropic Serif,Anthropic Sans,"serif, sans, functional, bold, light, tight",Background: Warm Sand (`#e8e6dc`); Text: Charcoal Warm (`#4d4c48`); Padding: 0px 12px 0px 8px (asymmetric — icon-first layout); Radius: comfortably rounded (8px); Background: Pure White (`#ffffff`),Background: Ivory (`#faf9f5`) or Pure White (`#ffffff`) on light surfaces; Dark Surface (`#30302e`) on dark; Border: thin solid Border Cream (`1px solid #f0eee6`) on light; `1px solid #30302e` on dark; Radius: comfortably rounded (8px) for standar...,"| Whisper (Level 3) | `rgba(0,0,0,0.05) 0px 4px 24px` | Elevated feature cards, product screenshots |",,8px,Use Parchment (`#f5f4ed`) as the primary light background — the warm cream tone IS the Claude personality; Use Anthropic Serif at weight 500 for all headlines — the single-weight consistency is intentional; Use Terracotta Brand (`#c96442`) only for primary CTAs and the highest-signal brand moments; Keep all neutrals warm-toned — every gray should have a yellow-brown undertone; Use ring shadows (`0px 0px 0px 1px`) for interactive element states instead of drop shadows; Maintain the editorial seri,Don't use cool blue-grays anywhere — the palette is exclusively warm-toned; Don't use bold (700+) weight on Anthropic Serif — weight 500 is the ceiling for serifs; Don't introduce saturated colors beyond Terracotta — the palette is deliberately muted; Don't use sharp corners (< 6px radius) on buttons or cards — softness is core to the identity; Don't apply heavy drop shadows — depth comes from ring shadows and background color shifts; Don't use pure white (`#ffffff`) as a page background — Parch,"Warm parchment canvas (`#f5f4ed`) evoking premium paper, not screens; Custom Anthropic type family: Serif for headlines, Sans for UI, Mono for code; Terracotta brand accent (`#c96442`) — warm, earthy, deliberately un-tech; Exclusively warm-toned neutrals — every gray has a yellow-brown undertone; Organic, editorial illustrations replacing typical tech iconography; Ring-based shadow system (`0px 0px 0px 1px`) creating border-like depth without visible borders; Magazine-like pacing with generou...",design-md/claude/DESIGN.md
7,Clay,Design & Productivity,"Clay's website is a warm, playful celebration of color that treats B2B data enrichment like a craft rather than an enterprise chore. The design language is built on a foundation of warm cream backgrounds (`#faf9f7`) and oat-toned borders (`#dad4c8`, `#eee9df`) that give every surface the tactile ...","clay, design & productivity, warm, geometric, playful, technical, enterprise, animation, pill, blue",#000000,#02492a,#84e7a5,#dad4c8,#ffffff,Roobert,Clean three-tier system where each weight has a strict role.,clean,"Background: transparent (`rgba(239, 241, 243, 0)`); Text: `#000000`; Padding: 6.4px 12.8px; Border: none (or `1px solid #717989` for outlined variant); Hover: background shifts to swatch color (e.g., `#434346`), text to white, `rotateZ(-8deg)`, `t...","Background: `#ffffff` on cream canvas; Border: `1px solid #dad4c8` (warm oat) or `1px dashed #dad4c8`; Radius: 12px (standard cards), 24px (feature cards/images), 40px (section containers/footer); Shadow: `rgba(0,0,0,0.1) 0px 1px 1px, rgba(0,0,0,0...","| Clay Shadow (Level 1) | `rgba(0,0,0,0.1) 0px 1px 1px, rgba(0,0,0,0.04) 0px -1px inset, rgba(0,0,0,0.05) 0px -0.5px` | Cards, buttons — multi-layer with inset highlight |",,8px,"Use warm cream (`#faf9f7`) as the page background — the warmth is the identity; Apply all 5 OpenType stylistic sets on Roobert headings: `""ss01"", ""ss03"", ""ss10"", ""ss11"", ""ss12""`; Use the named swatch palette (Matcha, Slushie, Lemon, Ube, Pomegranate, Blueberry) for section backgrounds; Apply the playful hover animation: `rotateZ(-8deg)`, `translateY(-80%)`, hard shadow `-7px 7px`; Use warm oat borders (`#dad4c8`) — not neutral gray; Mix solid and dashed borders for visual variety; Use generous r","Don't use cool gray backgrounds — the warm cream (`#faf9f7`) is non-negotiable; Don't use neutral gray borders (`#ccc`, `#ddd`) — always use the warm oat tones; Don't mix more than 2 swatch colors in the same section; Don't skip the OpenType stylistic sets — they define Roobert's character; Don't use subtle hover effects — the rotation + hard shadow is the signature interaction; Don't use small border radius (<12px) on feature cards — the generous rounding is structural; Don't use standard shado","Warm cream canvas (`#faf9f7`) with oat-toned borders (`#dad4c8`) — artisanal, not clinical; Named swatch palette: Matcha, Slushie, Lemon, Ube, Pomegranate, Blueberry, Dragonfruit; Roobert font with 5 OpenType stylistic sets — quirky geometric character; Playful hover animations: rotateZ(-8deg) + translateY(-80%) + hard offset shadow; Space Mono for code and technical labels; Generous border radius: 24px cards, 40px sections, 1584px pills; Mixed border styles: solid + dashed in the same interf...",design-md/clay/DESIGN.md
8,ClickHouse,Infrastructure & Cloud,"ClickHouse's interface is a high-performance cockpit rendered in acid yellow-green on obsidian black — a design that screams ""speed"" before you read a single word. The entire experience lives in darkness: pure black backgrounds (`#000000`) with dark charcoal cards (`#414141` borders) creating a t...","clickhouse, infrastructure & cloud, dark, green, red, yellow, black",#faff69,#f4f692,#4f5100,#000000,#ffffff,Inter,Basier,"bold, sans, serif",Background: Neon Volt (`#faff69`); Text: Near Black (`#151515`); Padding: 0px 16px; Radius: sharp (4px); Border: `1px solid #faff69`,"Background: transparent or Near Black; Border: `1px solid rgba(65, 65, 65, 0.8)` — the signature charcoal containment; Radius: 4px (small elements) or 8px (cards, containers); Shadow Level 1: subtle (`rgba(0,0,0,0.1) 0px 1px 3px, rgba(0,0,0,0.1) 0...","| Bordered (Level 1) | `1px solid rgba(65,65,65,0.8)` | Standard cards, containers |",,8px,"Use Neon Volt (#faff69) as the sole chromatic accent — it must pop against pure black; Use Inter at weight 900 for hero display text — the extreme weight IS the personality; Keep everything on pure black (#000000) — never use dark gray as the page background; Use charcoal borders (rgba(65,65,65,0.8)) for all card containment; Apply Forest Green (#166534) for primary CTA buttons — distinct from neon for action hierarchy; Show performance stats as oversized display numbers — it's the core visual a","Don't introduce additional colors — the palette is strictly black, neon, green, and gray; Don't use the neon as a background fill — it's an accent and border color only (except on CTA buttons); Don't reduce display weight below 700 — heavy weight is core to the personality; Don't use light/white backgrounds anywhere — the entire experience is dark; Don't round corners beyond 8px — the sharp geometry reflects database precision; Don't use soft/diffused shadows on black — they're invisible. Use bo",Pure black canvas (#000000) with neon yellow-green (#faff69) accent — maximum contrast; Extra-heavy display typography: Inter at weight 900 (Black) up to 96px; Dark charcoal card system with #414141 borders at 80% opacity; Forest green (#166534) secondary CTA buttons; Performance stats as oversized display numbers; Uppercase labels with wide letter-spacing (1.4px) for navigation structure; Active/pressed state shifts text to pale yellow (#f4f692); All links hover to neon yellow-green — unifie...,design-md/clickhouse/DESIGN.md
9,Cohere,AI & Machine Learning,"Cohere's interface is a polished enterprise command deck — confident, clean, and designed to make AI feel like serious infrastructure rather than a consumer toy. The experience lives on a bright white canvas where content is organized into generously rounded cards (22px radius) that create an org...","cohere, ai & machine learning, minimal, cool, clean, serious, ai, enterprise, consumer, rounded, purple, blue, black, white, serif",#000000,#1863dc,#9b60aa,#ffffff,#93939f,CohereText,Unica77 Cohere Web,"serif, sans, functional, geometric, technical","Background: transparent (`rgba(255, 255, 255, 0)`); Text: Cohere Black (`#000000`); No border visible; Hover: text shifts to Interaction Blue (`#1863dc`), opacity 0.8; Background: dark/black","Background: Pure White (`#ffffff`); Border: thin solid Lightest Gray (`1px solid #f2f2f2`) for subtle cards; Cool Border (`#d9d9dd`) for emphasized; Radius: **22px** — the signature Cohere radius for primary cards, images, and dialog containers. A...",,,8px,"Use 22px border-radius on all primary cards and containers — it's the visual signature; Use CohereText for display headings (72px, 60px) with negative letter-spacing; Use Unica77 for all body and UI text at weight 400; Keep the palette black-and-white with cool gray borders; Use Interaction Blue (#1863dc) only for hover/focus interactive states; Use deep purple sections for dramatic visual breaks and product showcases; Apply uppercase + letter-spacing on CohereMono for section labels; Maintain e","Don't use border-radius other than 22px on primary cards — the signature radius matters; Don't introduce warm colors — the palette is strictly cool-toned; Don't use heavy shadows — depth comes from color contrast and borders; Don't use bold (700+) weight on body text — 400–500 is the range; Don't skip the serif/sans hierarchy — CohereText for headlines, Unica77 for body; Don't use purple as a surface color for cards — purple is reserved for full-width sections; Don't reduce section spacing below","Bright white canvas with cool gray containment borders; 22px signature border-radius — the distinctive ""Cohere card"" roundness; Dual custom typeface: CohereText (display serif) + Unica77 (body sans); Enterprise-grade chromatic restraint: black, white, cool grays, minimal purple-blue accent; Deep purple/violet hero sections providing dramatic contrast; Ghost/transparent buttons that shift to blue on hover; Enterprise photography showing diverse real-world applications; CohereMono for code and ...",design-md/cohere/DESIGN.md
10,Coinbase,Fintech & Crypto,"Coinbase's website is a clean, trustworthy crypto platform that communicates financial reliability through a blue-and-white binary palette. The design uses Coinbase Blue (`#0052ff`) — a deep, saturated blue — as the singular brand accent against white and near-black surfaces. The proprietary font...","coinbase, fintech & crypto, dark, light, cool, clean, ai, crypto, pill, saturated, blue, black, white",#0052ff,#eef0f3,#ffffff,#282b31,#0a0b0d,CoinbaseDisplay,CoinbaseSans,,Background: `#eef0f3` or `#282b31`; Radius: 56px; Border: `1px solid` matching background; Hover: `#578bfa` (light blue); Border: `1px solid #0052ff`,"Radius: 8px–40px range; Borders: `1px solid rgba(91,97,110,0.2)`",,,,Use Coinbase Blue (#0052ff) for primary interactive elements; Apply 56px radius for all CTA buttons; Use CoinbaseDisplay for hero headings only; Alternate dark (#0a0b0d) and white sections,Don't use the blue decoratively — it's functional only; Don't use sharp corners on CTAs — 56px minimum,"Coinbase Blue (`#0052ff`) as singular brand accent; Four-font proprietary family: Display, Sans, Text, Icons; 56px radius pill buttons with blue hover transition; Near-black (`#0a0b0d`) dark sections + white light sections; 1.00 line-height on display headings — ultra-tight; Cool gray secondary surface (`#eef0f3`) with blue tint; `text-transform: lowercase` on some button labels — unusual",design-md/coinbase/DESIGN.md
